"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47170","TC_02_VIN_Decode_Classic_Validation","VINNumberCA_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","2797","TC_21_Window_Sticker_Default_Plan","MotorcycleVINLookup_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","73365","TC_13_Classic_VIN_YMM_Edit_Validation","VINNumberCA_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","33094","TC_15_Classic_Editible_Specs_Update","InstantVinReports_MobileChrome","2026-09-26","skipped","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","164","TC_07_Exit_Intent_Popup_Trigger_Validation","VINNumberCA_MobileChrome","2026-09-26","skipped","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","59947","TC_13_Classic_VIN_YMM_Edit_Validation","VSR_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","7233","TC_04_VHR_Revisit_Banner_Validation","InstantVinReports","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","6763","TC_23_Sticker_Upsell_Text_Validation","VSR_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","3524","TC_01_VIN_Decode_17_Character_Validation","MotorcycleVINLookup_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","48768","TC_06_Preview_Page_Plan_Selection_Validation","VINNumberCA","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","143","TC_08_Home_To_Checkout_Price_Coupon_And_Email_Cache_Validation","InstantVinReports_MobileChrome","2026-09-26","skipped","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","19137","TC_25_Home_Page_Exit_Intent_Banner_Validation","InstantVinReports","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","6647","TC_24_Coupon_Banner_Hierarchy_And_Persistence_Validation","InstantVinReports_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","26934","TC_17_EU_VIN_Confirmation_No","InstantVinReports_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","3548","TC_06 Coupon banner on other pages","VehicleHistoryEU_MobileChrome","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","5530","TC_06_Preview_Page_Plan_Selection_Validation","VSR","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","20301","TC_17_EU_VIN_Confirmation_No","MotorcycleVINLookup_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","21236","TC_14 EU VIN confirmation flow","VehicleHistoryEU","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","2828","TC_21_Window_Sticker_Default_Plan","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","84891","TC_15_Classic_Editible_Specs_Update","VINNumberCA","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","47305","TC_01_VIN_Decode_17_Character_Validation","VINNumberCA_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","47538","TC_25_Home_Page_Exit_Intent_Banner_Validation","VINNumberCA","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","24563","TC_07 License Plate search validation","VehicleHistoryEU","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","67097","TC_14_Classic_Manual_Input_Validation","VINNumberCA","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","25707","TC_17_EU_VIN_Confirmation_No","VSR_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","64609","TC_13_Classic_VIN_YMM_Edit_Validation","InstantVinReports","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","2119","TC_10 Exit intent banner verification","VehicleHistoryEU","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","47033","TC_20_Default_Plan_Checking","VINNumberCA","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","47797","TC_02_VIN_Decode_Classic_Validation","VINNumberCA","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","162","TC_25_Home_Page_Exit_Intent_Banner_Validation","MotorcycleVINLookup_MobileChrome","2026-09-26","skipped","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","209","TC_11 Preview to checkout redirection","VehicleHistoryEU_MobileChrome","2026-09-26","skipped","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","6485","TC_24_Coupon_Banner_Hierarchy_And_Persistence_Validation","VSR_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","29687","TC_17_EU_VIN_Confirmation_No","VSR","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","11288","TC_08 Revisit banner flow","VehicleHistoryEU_MobileChrome","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","12037","TC_06_Preview_Page_Plan_Selection_Validation","MotorcycleVINLookup_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","47871","TC_13_Classic_VIN_YMM_Edit_Validation","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","17610","TC_04_VHR_Revisit_Banner_Validation","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","28462","TC_04_VHR_Revisit_Banner_Validation","MotorcycleVINLookup_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","3742","TC_25_Home_Page_Exit_Intent_Banner_Validation","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","35294","TC_15_Classic_Editible_Specs_Update","VSR","2026-09-26","skipped","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","157","TC_25_Home_Page_Exit_Intent_Banner_Validation","InstantVinReports_MobileChrome","2026-09-26","skipped","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","5332","TC_21_Window_Sticker_Default_Plan","InstantVinReports","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","19055","TC_05_Window_Sticker_Revisit_Banner_Validation","VSR","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","179","TC_12 Classic editable specs feature validation","VehicleHistoryEU_MobileChrome","2026-09-26","skipped","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","169","TC_25_Home_Page_Exit_Intent_Banner_Validation","VINNumberCA_MobileChrome","2026-09-26","skipped","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","62466","TC_04_VHR_Revisit_Banner_Validation","VINNumberCA_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","4395","TC_01_VIN_Decode_17_Character_Validation","InstantVinReports","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","1514","TC_02 Verify error message on invalid search","VehicleHistoryEU_MobileChrome","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","32785","TC_24_Coupon_Banner_Hierarchy_And_Persistence_Validation","VINNumberCA_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","162","TC_15 Classic editable specs manual update feature validation","VehicleHistoryEU_MobileChrome","2026-09-26","skipped","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","47391","TC_01_VIN_Decode_17_Character_Validation","VINNumberCA","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","3137","TC_20_Default_Plan_Checking","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","162","TC_16 Default plan price check verification","VehicleHistoryEU","2026-09-26","skipped","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","65564","TC_14_Classic_Manual_Input_Validation","VINNumberCA_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","173","TC_13 Global Exit Intent Preview Verification","VehicleHistoryEU_MobileChrome","2026-09-26","skipped","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","177","TC_17 Classic editable specs update only from preview validation","VehicleHistoryEU_MobileChrome","2026-09-26","skipped","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","6701","TC_23_Sticker_Upsell_Text_Validation","InstantVinReports_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","5231","TC_22_VHR_Upsell_Text_Validation","InstantVinReports_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","6488","TC_24_Coupon_Banner_Hierarchy_And_Persistence_Validation","VSR","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","3593","TC_04 Coupon flow validation","VehicleHistoryEU","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","11590","TC_07_Exit_Intent_Popup_Trigger_Validation","InstantVinReports","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","12339","TC_09 Revisit sticker banner flow","VehicleHistoryEU","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","2880","TC_02_VIN_Decode_Classic_Validation","MotorcycleVINLookup_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","191","TC_15 Classic editable specs manual update feature validation","VehicleHistoryEU","2026-09-26","skipped","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","13891","TC_04_VHR_Revisit_Banner_Validation","InstantVinReports_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","42044","TC_15_Classic_Editible_Specs_Update","MotorcycleVINLookup_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","54401","TC_15_Classic_Editible_Specs_Update","MotorcycleVINLookup","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","3169","TC_20_Default_Plan_Checking","VSR","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","6720","TC_23_Sticker_Upsell_Text_Validation","InstantVinReports","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","42757","TC_14_Classic_Manual_Input_Validation","VSR_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","12989","TC_08 Revisit banner flow","VehicleHistoryEU","2026-09-26","passed","2026-09-26","","tests/global_case_verification.spec.ts","",""
"","4380","TC_01_VIN_Decode_17_Character_Validation","InstantVinReports_MobileChrome","2026-09-26","passed","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","148","TC_08_Home_To_Checkout_Price_Coupon_And_Email_Cache_Validation","VINNumberCA_MobileChrome","2026-09-26","skipped","2026-09-26","","streaming Task/global_streaming_specs.spec.js","",""
"","186","TC_12 Classic editable specs feature validation","VehicleHistoryEU","2026-09-26","skipped","2026-09-26","","tests/global_case_verification.spec.ts","",""
